# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-02-22 11:22:04 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 15087700 INDIAN R AT SITKA AK
# -----------------------------------------------------------------------------------
#
# Data provided for site 15087700
#            TS   parameter     Description
#          1343       00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	1343_00065	1343_00065_cd
5s	15s	20d	6s	14n	10s
USGS	15087700	2020-02-19 00:00	AKST	21.02	P
USGS	15087700	2020-02-19 00:15	AKST	21.02	P
USGS	15087700	2020-02-19 00:30	AKST	21.03	P
USGS	15087700	2020-02-19 00:45	AKST	21.03	P
USGS	15087700	2020-02-19 01:00	AKST	21.03	P
USGS	15087700	2020-02-19 01:15	AKST	21.03	P
USGS	15087700	2020-02-19 01:30	AKST	21.02	P
USGS	15087700	2020-02-19 01:45	AKST	21.03	P
USGS	15087700	2020-02-19 02:00	AKST	21.03	P
USGS	15087700	2020-02-19 02:15	AKST	21.03	P
USGS	15087700	2020-02-19 02:30	AKST	21.03	P
USGS	15087700	2020-02-19 02:45	AKST	21.03	P
USGS	15087700	2020-02-19 03:00	AKST	21.03	P
USGS	15087700	2020-02-19 03:15	AKST	21.03	P
USGS	15087700	2020-02-19 03:30	AKST	21.03	P
USGS	15087700	2020-02-19 03:45	AKST	21.03	P
USGS	15087700	2020-02-19 04:00	AKST	21.03	P
USGS	15087700	2020-02-19 04:15	AKST	21.04	P
USGS	15087700	2020-02-19 04:30	AKST	21.04	P
USGS	15087700	2020-02-19 04:45	AKST	21.04	P
USGS	15087700	2020-02-19 05:00	AKST	21.04	P
USGS	15087700	2020-02-19 05:15	AKST	21.04	P
USGS	15087700	2020-02-19 05:30	AKST	21.04	P
USGS	15087700	2020-02-19 05:45	AKST	21.05	P
USGS	15087700	2020-02-19 06:00	AKST	21.05	P
USGS	15087700	2020-02-19 06:15	AKST	21.06	P
USGS	15087700	2020-02-19 06:30	AKST	21.07	P
USGS	15087700	2020-02-19 06:45	AKST	21.09	P
USGS	15087700	2020-02-19 07:00	AKST	21.10	P
USGS	15087700	2020-02-19 07:15	AKST	21.12	P
USGS	15087700	2020-02-19 07:30	AKST	21.13	P
USGS	15087700	2020-02-19 07:45	AKST	21.13	P
USGS	15087700	2020-02-19 08:00	AKST	21.14	P
USGS	15087700	2020-02-19 08:15	AKST	21.14	P
USGS	15087700	2020-02-19 08:30	AKST	21.16	P
USGS	15087700	2020-02-19 08:45	AKST	21.16	P
USGS	15087700	2020-02-19 09:00	AKST	21.15	P
USGS	15087700	2020-02-19 09:15	AKST	21.14	P
USGS	15087700	2020-02-19 09:30	AKST	21.15	P
USGS	15087700	2020-02-19 09:45	AKST	21.14	P
USGS	15087700	2020-02-19 10:00	AKST	21.13	P
USGS	15087700	2020-02-19 10:15	AKST	21.15	P
USGS	15087700	2020-02-19 10:30	AKST	21.14	P
USGS	15087700	2020-02-19 10:45	AKST	21.14	P
USGS	15087700	2020-02-19 11:00	AKST	21.14	P
USGS	15087700	2020-02-19 11:15	AKST	21.13	P
USGS	15087700	2020-02-19 11:30	AKST	21.13	P
USGS	15087700	2020-02-19 11:45	AKST	21.13	P
USGS	15087700	2020-02-19 12:00	AKST	21.12	P
USGS	15087700	2020-02-19 12:15	AKST	21.11	P
USGS	15087700	2020-02-19 12:30	AKST	21.12	P
USGS	15087700	2020-02-19 12:45	AKST	21.11	P
USGS	15087700	2020-02-19 13:00	AKST	21.11	P
USGS	15087700	2020-02-19 13:15	AKST	21.11	P
USGS	15087700	2020-02-19 13:30	AKST	21.11	P
